Operator_ID,Operator_Name,Shift,Department,Experience_Years,Certification,Contact
Op001,Melissa Thomas,Evening,Assembly,3,Scada,835-622-6178
Op002,Michael Crawford,Day,Quality,7,Safety,001-910-205-8685X75848
Op003,Dustin Howard,Evening,Assembly,16,Scada,8559899360
Op004,Jesus Soto,Day,Quality,22,Scada,(403)913-2705X36459
Op005,Brian Cortez,Night,Maintenance,1,Scada,001-507-752-5097
Op006,Gloria Harrington,Evening,Packaging,21,Scada,+1-334-737-1478
Op007,Nicholas Zimmerman,Night,Packaging,24,Robotics,+1-461-209-5407
Op008,Terrance Kent,Day,Packaging,2,Safety,2968791988
Op009,Michael Henderson,Night,Packaging,6,Scada,001-482-839-6968X404
Op010,Mary Torres,Evening,Maintenance,10,Plc,541-386-8115X56926
Op011,Andrew Greene,Day,Assembly,21,Robotics,9785430636
Op012,Kimberly Silva,Evening,Maintenance,6,Robotics,6635549117
Op013,Tyler Edwards,Night,Maintenance,5,Plc,(319)295-0547X499
Op014,Lori Knox,Day,Maintenance,8,Robotics,200.993.2050X5557
Op015,Christina Pham,Day,Maintenance,15,Safety,(921)318-4531X919
Op016,Christopher Martin,Evening,Assembly,4,Nan,5386221284
Op017,Brittany Cooper,Evening,Assembly,11,Safety,(660)955-7691
Op018,Walter Cabrera,Evening,Assembly,20,Nan,+1-837-679-6955X04915
Op019,Matthew Powell,Evening,Assembly,10,Safety,971-296-5284
Op020,Kevin Parker,Evening,Packaging,20,Nan,489.304.5333
Op021,Dr. Mark Dyer,Night,Assembly,7,Safety,549.497.6738X32209
Op022,Erika Wells,Day,Maintenance,10,Scada,001-948-411-4375X1900
Op023,Debra Williams,Evening,Maintenance,3,Nan,001-903-384-0786X868
Op024,Kathleen Lindsey,Day,Packaging,13,Plc,5654198210
Op025,Tammy Wilson,Night,Assembly,1,Scada,(271)860-9388
Op026,Trevor Robertson,Evening,Quality,11,Nan,(744)972-3849
Op027,Charles Russell,Evening,Packaging,24,Nan,3507694441
Op028,Michael Brown,Night,Packaging,2,Scada,+1-458-706-1248X94881
Op029,Nicole Davidson,Day,Quality,13,Safety,3828549133
Op030,Steven Mathews,Evening,Quality,20,Scada,814.241.4187X82631
Op031,Joseph Velasquez,Day,Maintenance,8,Scada,(498)590-7266
Op032,Andrew Mendoza,Night,Quality,3,Nan,550-606-6327
Op033,Victoria Short,Evening,Assembly,3,Nan,600-680-8797
Op034,Julia Mendoza,Day,Assembly,20,Scada,5938667369
Op035,Ryan Roberts,Evening,Packaging,9,Scada,+1-443-610-7076X695
Op036,John Rodriguez,Evening,Assembly,13,Safety,(718)298-5880X86019
Op037,Stephanie Freeman,Night,Packaging,17,Scada,602-891-7183
Op038,Derek Baldwin,Evening,Quality,7,Scada,+1-251-673-0569X72497
Op039,Timothy Fry,Evening,Packaging,8,Robotics,347.593.9118X6227
Op040,Stefanie Cox Md,Day,Quality,12,Plc,001-378-888-7933X4900
Op041,Cynthia Little,Night,Quality,14,Nan,5114333224
Op042,Douglas Taylor,Evening,Assembly,17,Safety,001-381-501-6405X0608
Op043,Michelle Mason,Evening,Maintenance,6,Robotics,(971)734-4553X723
Op044,Sara Shaw,Day,Packaging,13,Nan,001-215-995-5590
Op045,Jocelyn Morgan,Day,Maintenance,11,Plc,805.454.1023
Op046,Samantha Adkins,Evening,Maintenance,7,Robotics,778.257.2749X6688
Op047,Sarah Campbell,Day,Maintenance,6,Nan,001-990-816-9689
Op048,Gina Vaughan,Night,Maintenance,20,Robotics,+1-496-313-3747X32813
Op049,Nicole Rodriguez,Evening,Assembly,8,Nan,+1-842-215-3004X00532
Op050,Erica Peterson,Evening,Quality,10,Robotics,001-931-497-9970X61620
Op051,Phyllis Jones,Day,Maintenance,20,Plc,714-316-2600X2047
Op052,Michael Morgan,Evening,Quality,11,Plc,937-995-3301X28062
Op053,Lisa Taylor,Evening,Quality,4,Nan,380.262.5073X58681
