Maintenance_ID,System_ID,Issue,Priority,Assigned_Engineer,Status,Repair_Time,Cost,Completion_Date
Mt0001,Sys0296,Plc Failure,High,Joseph Lee,Completed,22,3602.58,2026-06-14
Mt0002,Sys0084,Plc Failure,High,Nicole Simmons,Completed,18,3053.36,2026-03-04
Mt0003,Sys0340,Robot Calibration,Medium,Mason Flores,Completed,21,1615.08,2026-04-08
Mt0004,Sys0142,Robot Calibration,High,Karen Lee,In Progress,20,3676.15,2026-02-04
Mt0005,Sys0299,Robot Calibration,Medium,Joel Wilson,Completed,18,4572.03,2026-06-21
Mt0006,Sys0190,Motor Repair,Medium,Michael Lopez,In Progress,23,2940.87,2026-06-02
Mt0007,Sys0387,Sensor Replacement,High,Frank Miller,In Progress,4,4244.42,2026-06-23
Mt0008,Sys0027,Sensor Replacement,Low,David Swanson,Completed,15,3776.92,2026-02-03
Mt0009,Sys0237,Plc Failure,Low,Kyle Sutton,Open,17,2794.15,2026-02-13
Mt0010,Sys0328,Motor Repair,Low,Daniel Green,Open,1,4645.91,2026-03-09
Mt0011,Sys0385,Robot Calibration,Medium,Andrew Buckley,Open,4,3991.56,2026-05-21
Mt0012,Sys0407,Sensor Replacement,Medium,Michael Carrillo Phd,Open,6,2710.75,2026-02-11
Mt0013,Sys0201,Plc Failure,Low,Nicole Parker,Completed,24,1244.66,2026-06-18
Mt0014,Sys0016,Sensor Replacement,High,Ashley Aguilar,In Progress,11,3809.53,2026-06-09
Mt0015,Sys0435,Plc Failure,Low,Lauren Dunn,In Progress,8,3126.82,2026-04-30
Mt0016,Sys0252,Plc Failure,Medium,Robert Perkins,Open,19,254.51,2026-04-21
Mt0017,Sys0421,Plc Failure,High,Steven Barajas,In Progress,22,4601.22,2026-07-04
Mt0018,Sys0495,Sensor Replacement,Low,Brenda Benjamin,Open,15,2970.04,2026-05-20
Mt0019,Sys0190,Robot Calibration,Low,Michele Robles,In Progress,14,4638.14,2026-03-03
Mt0020,Sys0300,Sensor Replacement,Low,Tyrone Thomas,Open,3,3214.42,2026-03-18
Mt0021,Sys0337,Robot Calibration,High,Bailey Smith,In Progress,18,3804.12,2026-02-12
Mt0022,Sys0387,Motor Repair,High,Danielle Oneal,Completed,22,1728.4,2026-03-28
Mt0023,Sys0065,Motor Repair,Low,William Smith,In Progress,24,783.38,2026-05-19
Mt0024,Sys0295,Sensor Replacement,High,Lisa Hall,Completed,1,1393.37,2026-02-01
Mt0025,Sys0440,Sensor Replacement,High,Debra Wall,Open,10,845.13,2026-02-14
Mt0026,Sys0444,Robot Calibration,Medium,Russell Gordon,Completed,8,3672.83,2026-06-23
Mt0027,Sys0022,Plc Failure,High,Jasmine Fowler,In Progress,11,4166.49,2026-04-18
Mt0028,Sys0409,Plc Failure,High,Vanessa Gutierrez,In Progress,4,405.04,2026-01-31
Mt0029,Sys0168,Plc Failure,Low,Anthony Stone,Open,7,3630.24,2026-05-18
Mt0030,Sys0106,Motor Repair,Low,Elizabeth Strickland,Open,23,4016.36,2026-06-21
Mt0031,Sys0272,Motor Repair,Low,Megan Phillips,Open,13,871.33,2026-01-29
