Maintenance_ID,System_ID,Issue,Priority,Assigned_Engineer,Status,Repair_Time,Cost,Completion_Date
MT0001,SYS0296,PLC Failure,High,Joseph Lee,Completed,22,3602.58,2026-06-14
MT0002,SYS0084,PLC Failure,High,Nicole Simmons,Completed,18,3053.36,2026-03-04
MT0003,SYS0340,Robot Calibration,Medium,Mason Flores,Completed,21,1615.08,2026-04-08
MT0004,SYS0142,Robot Calibration,High,Karen Lee,In Progress,20,3676.15,2026-02-04
MT0005,SYS0299,Robot Calibration,Medium,Joel Wilson,Completed,18,4572.03,2026-06-21
MT0006,SYS0190,Motor Repair,Medium,Michael Lopez,In Progress,23,2940.87,2026-06-02
MT0007,SYS0387,Sensor Replacement,High,Frank Miller,In Progress,4,4244.42,2026-06-23
MT0008,SYS0027,Sensor Replacement,Low,David Swanson,Completed,15,3776.92,2026-02-03
MT0009,SYS0237,PLC Failure,Low,Kyle Sutton,Open,17,2794.15,2026-02-13
MT0010,SYS0328,Motor Repair,Low,Daniel Green,Open,1,4645.91,2026-03-09
MT0011,SYS0385,Robot Calibration,Medium,Andrew Buckley,Open,4,3991.56,2026-05-21
MT0012,SYS0407,Sensor Replacement,Medium,Michael Carrillo PhD,Open,6,2710.75,2026-02-11
MT0013,SYS0201,PLC Failure,Low,Nicole Parker,Completed,24,1244.66,2026-06-18
MT0014,SYS0016,Sensor Replacement,High,Ashley Aguilar,In Progress,11,3809.53,2026-06-09
MT0015,SYS0435,PLC Failure,Low,Lauren Dunn,In Progress,8,3126.82,2026-04-30
MT0016,SYS0252,PLC Failure,Medium,Robert Perkins,Open,19,254.51,2026-04-21
MT0017,SYS0421,PLC Failure,High,Steven Barajas,In Progress,22,4601.22,2026-07-04
MT0018,SYS0495,Sensor Replacement,Low,Brenda Benjamin,Open,15,2970.04,2026-05-20
MT0019,SYS0190,Robot Calibration,Low,Michele Robles,In Progress,14,4638.14,2026-03-03
MT0020,SYS0300,Sensor Replacement,Low,Tyrone Thomas,Open,3,3214.42,2026-03-18
MT0021,SYS0337,Robot Calibration,High,Bailey Smith,In Progress,18,3804.12,2026-02-12
MT0022,SYS0387,Motor Repair,High,Danielle Oneal,Completed,22,1728.4,2026-03-28
MT0023,SYS0065,Motor Repair,Low,William Smith,In Progress,24,783.38,2026-05-19
MT0024,SYS0295,Sensor Replacement,High,Lisa Hall,Completed,1,1393.37,2026-02-01
MT0025,SYS0440,Sensor Replacement,High,Debra Wall,Open,10,845.13,2026-02-14
MT0026,SYS0444,Robot Calibration,Medium,Russell Gordon,Completed,8,3672.83,2026-06-23
MT0027,SYS0022,PLC Failure,High,Jasmine Fowler,In Progress,11,4166.49,2026-04-18
MT0028,SYS0409,PLC Failure,High,Vanessa Gutierrez,In Progress,4,405.04,2026-01-31
MT0029,SYS0168,PLC Failure,Low,Anthony Stone,Open,7,3630.24,2026-05-18
MT0030,SYS0106,Motor Repair,Low,Elizabeth Strickland,Open,23,4016.36,2026-06-21
MT0031,SYS0272,Motor Repair,Low,Megan Phillips,Open,13,871.33,2026-01-29
