Operator_ID,Operator_Name,Shift,Department,Experience_Years,Certification,Contact
OP001,Melissa Thomas,Evening,Assembly,3,SCADA,835-622-6178
OP002,Michael Crawford,Day,Quality,7,Safety,001-910-205-8685x75848
OP003,Dustin Howard,Evening,Assembly,16,SCADA,8559899360
OP004,Jesus Soto,Day,Quality,22,SCADA,(403)913-2705x36459
OP005,Brian Cortez,Night,Maintenance,1,SCADA,001-507-752-5097
OP006,Gloria Harrington,Evening,Packaging,21,SCADA,+1-334-737-1478
OP007,Nicholas Zimmerman,Night,Packaging,24,Robotics,+1-461-209-5407
OP008,Terrance Kent,Day,Packaging,2,Safety,2968791988
OP009,Michael Henderson,Night,Packaging,6,SCADA,001-482-839-6968x404
OP010,Mary Torres,Evening,Maintenance,10,PLC,541-386-8115x56926
OP011,Andrew Greene,Day,Assembly,21,Robotics,9785430636
OP012,Kimberly Silva,Evening,Maintenance,6,Robotics,6635549117
OP013,Tyler Edwards,Night,Maintenance,5,PLC,(319)295-0547x499
OP014,Lori Knox,Day,Maintenance,8,Robotics,200.993.2050x5557
OP015,Christina Pham,Day,Maintenance,15,Safety,(921)318-4531x919
OP016,Christopher Martin,Evening,Assembly,4,None,5386221284
OP017,Brittany Cooper,Evening,Assembly,11,Safety,(660)955-7691
OP018,Walter Cabrera,Evening,Assembly,20,None,+1-837-679-6955x04915
OP019,Matthew Powell,Evening,Assembly,10,Safety,971-296-5284
OP020,Kevin Parker,Evening,Packaging,20,None,489.304.5333
OP021,Dr. Mark Dyer,Night,Assembly,7,Safety,549.497.6738x32209
OP022,Erika Wells,Day,Maintenance,10,SCADA,001-948-411-4375x1900
OP023,Debra Williams,Evening,Maintenance,3,None,001-903-384-0786x868
OP024,Kathleen Lindsey,Day,Packaging,13,PLC,5654198210
OP025,Tammy Wilson,Night,Assembly,1,SCADA,(271)860-9388
OP026,Trevor Robertson,Evening,Quality,11,None,(744)972-3849
OP027,Charles Russell,Evening,Packaging,24,None,3507694441
OP028,Michael Brown,Night,Packaging,2,SCADA,+1-458-706-1248x94881
OP029,Nicole Davidson,Day,Quality,13,Safety,3828549133
OP030,Steven Mathews,Evening,Quality,20,SCADA,814.241.4187x82631
OP031,Joseph Velasquez,Day,Maintenance,8,SCADA,(498)590-7266
OP032,Andrew Mendoza,Night,Quality,3,None,550-606-6327
OP033,Victoria Short,Evening,Assembly,3,None,600-680-8797
OP034,Julia Mendoza,Day,Assembly,20,SCADA,5938667369
OP035,Ryan Roberts,Evening,Packaging,9,SCADA,+1-443-610-7076x695
OP036,John Rodriguez,Evening,Assembly,13,Safety,(718)298-5880x86019
OP037,Stephanie Freeman,Night,Packaging,17,SCADA,602-891-7183
OP038,Derek Baldwin,Evening,Quality,7,SCADA,+1-251-673-0569x72497
OP039,Timothy Fry,Evening,Packaging,8,Robotics,347.593.9118x6227
OP040,Stefanie Cox MD,Day,Quality,12,PLC,001-378-888-7933x4900
OP041,Cynthia Little,Night,Quality,14,None,5114333224
OP042,Douglas Taylor,Evening,Assembly,17,Safety,001-381-501-6405x0608
OP043,Michelle Mason,Evening,Maintenance,6,Robotics,(971)734-4553x723
OP044,Sara Shaw,Day,Packaging,13,None,001-215-995-5590
OP045,Jocelyn Morgan,Day,Maintenance,11,PLC,805.454.1023
OP046,Samantha Adkins,Evening,Maintenance,7,Robotics,778.257.2749x6688
OP047,Sarah Campbell,Day,Maintenance,6,None,001-990-816-9689
OP048,Gina Vaughan,Night,Maintenance,20,Robotics,+1-496-313-3747x32813
OP049,Nicole Rodriguez,Evening,Assembly,8,None,+1-842-215-3004x00532
OP050,Erica Peterson,Evening,Quality,10,Robotics,001-931-497-9970x61620
OP051,Phyllis Jones,Day,Maintenance,20,PLC,714-316-2600x2047
OP052,Michael Morgan,Evening,Quality,11,PLC,937-995-3301x28062
OP053,Lisa Taylor,Evening,Quality,4,None,380.262.5073x58681
