Repair_ID,Device_ID,Device_Type,Brand,Model,Serial_Number,Customer_Name,Engineer,Repair_Date,Failure_Category,Failure_Type,Root_Cause,Repair_Action,Parts_Used,Repair_Time_Hours,Repair_Cost,QC_Status,QC_Inspector,Rework,Final_Status,Warehouse,Supplier,Warranty,Customer_Satisfaction
RP000001,DV93810,Laptop,Asus,EliteBook,SN-iVgR-10433,Kimberly Garza,Brandon Hall,2026-03-21,Software,Battery,Ago current practice nation determine operation.,Software Installation,SSD Drive,6.93,719.13,Pass,Abigail Shaffer,No,Completed,Dallas,Samsung,Yes,2
RP000002,DV76237,Laptop,Acer,ThinkPad,SN-Wvgf-65423,Ian Cooper,Andrew Stevens,2024-11-04,Display,Operating System,Win her need.,Software Installation,WiFi Card,6.1,657.07,Pass,Lisa Hensley,Yes,Cancelled,Phoenix,Kingston,No,2
RP000003,DV38221,Laptop,Dell,MacBook Pro,SN-Xsfo-93103,Jamie Chavez,Carla Kelly,2025-08-03,Hardware,Keyboard,Reduce raise author play.,Component Repair,Cooling Fan,6.24,655.35,Fail,Danielle Ford,Yes,Pending,Dallas,Seagate,No,5
RP000004,DV57400,Desktop,Asus,Latitude,SN-ocZu-48350,Austin Gentry,Michelle Lewis,2024-11-29,Hardware,Battery,How trip learn enter east no.,Component Repair,Keyboard,9.86,691.49,Pass,Kevin Hurst,No,Pending,Phoenix,Dell Parts,No,2
RP000005,DV58520,Desktop,Asus,EliteBook,SN-FfWd-65328,Brittany Moore,Linda Cruz,2025-07-15,Hardware,Cooling Fan,You more wife team activity result.,Firmware Update,Battery,5.57,233.61,Fail,Kimberly Adams,No,Pending,Houston,Dell Parts,No,1
RP000006,DV40021,Server,Apple,EliteBook,SN-DaUU-51462,Jonathan White,Sheila Evans,2026-06-11,Hardware,Battery,Participant check several much single morning.,Cleaning,Cooling Fan,2.52,424.42,Fail,Fred Smith,Yes,Pending,Houston,Intel,No,5
RP000007,DV66155,Workstation,Lenovo,ThinkPad,SN-KffU-54303,Mr. Philip Cannon,John Pierce,2024-11-23,Software,Power Supply,Month parent who up.,OS Reinstallation,SSD Drive,7.68,695.83,Pass,Melissa Marquez,Yes,Cancelled,Phoenix,Seagate,Yes,4
RP000008,DV60019,Workstation,Acer,EliteBook,SN-hpoe-65787,Kevin Hall,Benjamin Welch,2024-11-10,Display,Motherboard,Attack all form method.,Firmware Update,SSD Drive,6.98,452.73,Fail,John Ryan,No,Completed,Austin,Western Digital,Yes,4
RP000009,DV10425,Desktop,Acer,Latitude,SN-ZAmg-99737,Jeffrey Henderson,Nicholas Nunez,2025-10-17,Network,Power Supply,Art rock song.,Cleaning,Motherboard,1.95,621.88,Pass,Corey Herrera,No,Pending,Dallas,Samsung,No,3
RP000010,DV41385,Desktop,Acer,Latitude,SN-peCZ-26247,Krista Williams,Dr. Tracy House DVM,2026-05-15,Hardware,WiFi Card,Image loss ten total.,Component Repair,SSD Drive,9.79,449.53,Pass,Aaron Myers,Yes,Cancelled,Phoenix,Seagate,Yes,3
RP000011,DV79163,Workstation,Hp,Aspire,SN-jmsn-74687,Lauren Daniels,Amy Silva,2024-10-30,Software,Screen,Try most arm meet surface attention.,OS Reinstallation,Cooling Fan,4.66,438.18,Pass,Scott Powell,Yes,Completed,Dallas,Kingston,Yes,5
RP000012,DV82603,Desktop,Dell,Latitude,SN-NfAQ-93990,Kelly Donovan,Mike Allen,2025-11-20,Hardware,Battery,Capital population lead upon very.,Replace Component,RAM Module,8.67,103.14,Pass,Marc Hart,No,Cancelled,Phoenix,Intel,Yes,5
RP000013,DV85525,Desktop,Apple,MacBook Pro,SN-qiwe-11838,Jaclyn Moore,Michele Carr,2025-03-16,Software,RAM,Account stage federal professional voice care.,Replace Component,Power Supply,3.87,358.33,Pass,Brian Tran,Yes,Completed,Phoenix,Dell Parts,No,1
RP000014,DV42591,Desktop,Acer,MacBook Pro,SN-nROq-44935,Danielle Odonnell,Mark Calderon,2025-12-29,Software,Operating System,About side PM.,Software Installation,Keyboard,4.89,705.86,Pass,Patrick Arnold,No,Cancelled,Dallas,Samsung,Yes,1
RP000015,DV40982,Workstation,Apple,MacBook Pro,SN-SjIc-68011,Lauren Hernandez,Eric Nolan,2026-01-24,Software,Operating System,Together decide economic.,Replace Component,Battery,4.1,788.98,Fail,Richard Henson,No,Pending,Phoenix,Dell Parts,No,2
RP000016,DV34890,Desktop,Dell,Aspire,SN-ZZlA-69232,Norman Cook,Rebekah Shields,2025-09-13,Display,Motherboard,Environment skin blue the.,Firmware Update,Cooling Fan,1.04,488.13,Pass,Courtney Velasquez,Yes,Cancelled,Dallas,Intel,Yes,5
RP000017,DV18907,Desktop,Apple,Latitude,SN-bQmz-75433,Sean Rasmussen,Martin Ross,2024-08-21,Display,Battery,Former agree theory end oil worker.,Cleaning,RAM Module,6.38,364.42,Fail,Kyle Reed,No,Completed,Austin,Intel,No,4
RP000018,DV27154,Server,Apple,EliteBook,SN-yKmq-56981,Jeffrey Meyer,Melissa Bentley,2024-08-25,Hardware,Motherboard,Hair attorney professional form.,OS Reinstallation,SSD Drive,1.2,209.87,Fail,Ryan Cortez,Yes,Pending,Dallas,Intel,No,3
RP000019,DV30676,Server,Acer,ZenBook,SN-zSsJ-48465,Jason Bentley,Stephanie Gilbert,2025-04-21,Display,Motherboard,Image street fight decision.,Firmware Update,Keyboard,9.35,127.69,Pass,Lisa Morris,No,Completed,Dallas,Dell Parts,Yes,3
RP000020,DV46930,Desktop,Asus,EliteBook,SN-YYVk-77387,Diane Beck,Anna Crane,2024-11-01,Software,Screen,Pull different current agency.,Cleaning,WiFi Card,2.89,731.12,Pass,John Atkinson,Yes,Cancelled,Phoenix,Kingston,Yes,1
RP000021,DV53719,Server,Hp,ZenBook,SN-TSyF-17693,Charles Watts,Shannon Mcclure,2026-03-02,Power,Power Supply,Despite sound receive let newspaper.,Firmware Update,Power Supply,5.83,133.91,Pass,Barbara Anderson,Yes,Pending,Houston,Western Digital,Yes,1
RP000022,DV50404,Laptop,Lenovo,ThinkPad,SN-WCNU-78895,Jessica Meadows,Christopher Hensley,2025-07-05,Software,RAM,Else easy point she miss.,BIOS Update,Power Supply,9.75,612.11,Pass,Denise Jones,Yes,Completed,Phoenix,Samsung,Yes,3
RP000023,DV63964,Desktop,Lenovo,ThinkPad,SN-Ifij-43455,Michael Mccarthy,Jason Daniels,2024-08-27,Hardware,Operating System,Artist strategy hope show watch.,Component Repair,RAM Module,8.66,216.83,Fail,Spencer Johnston,No,Pending,Houston,Intel,Yes,2
RP000024,DV62227,Server,Dell,EliteBook,SN-AIVV-70546,Lindsey Walker,Jeffrey Johnson,2025-08-11,Network,Power Supply,Protect something right subject try.,OS Reinstallation,Cooling Fan,9.42,136.51,Fail,Ms. Susan Vargas,Yes,Cancelled,Austin,Samsung,Yes,5
RP000025,DV66959,Server,Apple,Aspire,SN-ldqy-01627,Jesse Rogers,Diana Bean,2025-07-25,Display,RAM,Edge bank affect much yourself.,OS Reinstallation,Motherboard,2.92,581.59,Pass,Matthew Harrington,Yes,Pending,Phoenix,Samsung,No,5
RP000026,DV51145,Laptop,Asus,EliteBook,SN-Njpi-00330,Brian Gould,David Wood,2024-09-02,Display,Screen,Parent security boy standard who blue.,Firmware Update,Power Supply,3.6,572.91,Pass,Eric Byrd,Yes,Pending,Phoenix,Dell Parts,Yes,5
RP000027,DV84593,Workstation,Acer,Latitude,SN-SOpg-66319,Elizabeth Sutton,Rebecca Knight,2025-09-08,Network,Screen,Girl into have.,Software Installation,Power Supply,7.96,505.0,Fail,Gloria Atkinson,No,Pending,Phoenix,Dell Parts,Yes,5
